dataset,feature,feature_type,band,channel,coefficient
ibarra_zarate,wpli_gamma_C4_F7,wpli,gamma,C4-F7,-82.68667469982698
ibarra_zarate,wpli_delta_F3_F7,wpli,delta,F3-F7,-13.136924175085262
ibarra_zarate,wpli_theta_F3_F7,wpli,theta,F3-F7,73.76697557505666
ibarra_zarate,wpli_alpha_F3_F7,wpli,alpha,F3-F7,63.93960397671535
ibarra_zarate,wpli_beta_F3_F7,wpli,beta,F3-F7,-12.79358720270858
ibarra_zarate,wpli_gamma_F3_F7,wpli,gamma,F3-F7,-111.82478642079485
ibarra_zarate,wpli_delta_F4_F7,wpli,delta,F4-F7,-80.95178516305526
ibarra_zarate,wpli_theta_F4_F7,wpli,theta,F4-F7,0.0
ibarra_zarate,wpli_alpha_F4_F7,wpli,alpha,F4-F7,-60.0063746093603
ibarra_zarate,wpli_beta_F4_F7,wpli,beta,F4-F7,-57.79862193297844
ibarra_zarate,wpli_gamma_F4_F7,wpli,gamma,F4-F7,14.023674062193898
ibarra_zarate,wpli_delta_C3_F8,wpli,delta,C3-F8,0.0
ibarra_zarate,wpli_theta_C3_F8,wpli,theta,C3-F8,-35.9728159759291
ibarra_zarate,wpli_alpha_C3_F8,wpli,alpha,C3-F8,-6.801433768895847
ibarra_zarate,wpli_beta_C3_F8,wpli,beta,C3-F8,37.7935998199835
ibarra_zarate,wpli_gamma_C3_F8,wpli,gamma,C3-F8,-1.0818099939564583
ibarra_zarate,wpli_delta_C4_F8,wpli,delta,C4-F8,15.29768962310146
ibarra_zarate,wpli_theta_C4_F8,wpli,theta,C4-F8,52.506870438900414
ibarra_zarate,wpli_alpha_C4_F8,wpli,alpha,C4-F8,-47.525020015475604
ibarra_zarate,wpli_beta_C4_F8,wpli,beta,C4-F8,-1.079200739291487
ibarra_zarate,wpli_gamma_C4_F8,wpli,gamma,C4-F8,19.999713568584085
ibarra_zarate,wpli_delta_F3_F8,wpli,delta,F3-F8,71.28739572815796
ibarra_zarate,wpli_theta_F3_F8,wpli,theta,F3-F8,66.34392522863698
ibarra_zarate,wpli_alpha_F3_F8,wpli,alpha,F3-F8,12.53015889044983
ibarra_zarate,wpli_beta_F3_F8,wpli,beta,F3-F8,106.6564310513557
ibarra_zarate,wpli_gamma_F3_F8,wpli,gamma,F3-F8,-19.95613725490869
ibarra_zarate,wpli_delta_F4_F8,wpli,delta,F4-F8,-70.7900050200938
ibarra_zarate,wpli_theta_F4_F8,wpli,theta,F4-F8,17.76133425012241
ibarra_zarate,wpli_alpha_F4_F8,wpli,alpha,F4-F8,0.0
ibarra_zarate,wpli_beta_F4_F8,wpli,beta,F4-F8,51.869624603053275
ibarra_zarate,wpli_gamma_F4_F8,wpli,gamma,F4-F8,32.418280611827974
ibarra_zarate,wpli_delta_F7_F8,wpli,delta,F7-F8,-68.21809483021813
ibarra_zarate,wpli_theta_F7_F8,wpli,theta,F7-F8,-45.327234092831034
ibarra_zarate,wpli_alpha_F7_F8,wpli,alpha,F7-F8,-9.020484541098618
ibarra_zarate,wpli_beta_F7_F8,wpli,beta,F7-F8,59.58270328468792
ibarra_zarate,wpli_gamma_F7_F8,wpli,gamma,F7-F8,116.36044497808817
ibarra_zarate,wpli_delta_C3_Fp1,wpli,delta,C3-Fp1,-39.93916270859305
ibarra_zarate,wpli_theta_C3_Fp1,wpli,theta,C3-Fp1,0.0
ibarra_zarate,wpli_alpha_C3_Fp1,wpli,alpha,C3-Fp1,10.603684419318396
ibarra_zarate,wpli_beta_C3_Fp1,wpli,beta,C3-Fp1,-3.4574156274974697
ibarra_zarate,wpli_gamma_C3_Fp1,wpli,gamma,C3-Fp1,0.028310035372177786
ibarra_zarate,wpli_delta_C4_Fp1,wpli,delta,C4-Fp1,-8.946227347999548
ibarra_zarate,wpli_theta_C4_Fp1,wpli,theta,C4-Fp1,31.480803621818005
ibarra_zarate,wpli_alpha_C4_Fp1,wpli,alpha,C4-Fp1,17.36684310828041
ibarra_zarate,wpli_beta_C4_Fp1,wpli,beta,C4-Fp1,15.794748354340278
ibarra_zarate,wpli_gamma_C4_Fp1,wpli,gamma,C4-Fp1,0.0
ibarra_zarate,wpli_delta_F3_Fp1,wpli,delta,F3-Fp1,-25.89169647735244
ibarra_zarate,wpli_theta_F3_Fp1,wpli,theta,F3-Fp1,26.626225155516977
ibarra_zarate,wpli_alpha_F3_Fp1,wpli,alpha,F3-Fp1,43.77668696489366
ibarra_zarate,wpli_beta_F3_Fp1,wpli,beta,F3-Fp1,0.0
ibarra_zarate,wpli_gamma_F3_Fp1,wpli,gamma,F3-Fp1,0.0
ibarra_zarate,wpli_delta_F4_Fp1,wpli,delta,F4-Fp1,-6.2579201126603765
ibarra_zarate,wpli_theta_F4_Fp1,wpli,theta,F4-Fp1,58.98561400765403
ibarra_zarate,wpli_alpha_F4_Fp1,wpli,alpha,F4-Fp1,75.25802944170096
ibarra_zarate,wpli_beta_F4_Fp1,wpli,beta,F4-Fp1,29.362722615373016
ibarra_zarate,wpli_gamma_F4_Fp1,wpli,gamma,F4-Fp1,-35.65805884812891
ibarra_zarate,wpli_delta_F7_Fp1,wpli,delta,F7-Fp1,0.0
ibarra_zarate,wpli_theta_F7_Fp1,wpli,theta,F7-Fp1,-42.69633792590862
ibarra_zarate,wpli_alpha_F7_Fp1,wpli,alpha,F7-Fp1,42.199463867020796
ibarra_zarate,wpli_beta_F7_Fp1,wpli,beta,F7-Fp1,38.66818281347915
ibarra_zarate,wpli_gamma_F7_Fp1,wpli,gamma,F7-Fp1,51.27283273853359
ibarra_zarate,wpli_delta_F8_Fp1,wpli,delta,F8-Fp1,15.246724756784104
ibarra_zarate,wpli_theta_F8_Fp1,wpli,theta,F8-Fp1,0.0
ibarra_zarate,wpli_alpha_F8_Fp1,wpli,alpha,F8-Fp1,4.60522201136727
ibarra_zarate,wpli_beta_F8_Fp1,wpli,beta,F8-Fp1,-16.927750204381006
ibarra_zarate,wpli_gamma_F8_Fp1,wpli,gamma,F8-Fp1,-42.16464587972357
ibarra_zarate,wpli_delta_C3_Fp2,wpli,delta,C3-Fp2,-47.19686671486338
ibarra_zarate,wpli_theta_C3_Fp2,wpli,theta,C3-Fp2,9.432054492092895
ibarra_zarate,wpli_alpha_C3_Fp2,wpli,alpha,C3-Fp2,47.34769798230646
ibarra_zarate,wpli_beta_C3_Fp2,wpli,beta,C3-Fp2,0.0
ibarra_zarate,wpli_gamma_C3_Fp2,wpli,gamma,C3-Fp2,48.778423291510656
ibarra_zarate,wpli_delta_C4_Fp2,wpli,delta,C4-Fp2,-17.89578880968284
ibarra_zarate,wpli_theta_C4_Fp2,wpli,theta,C4-Fp2,38.6961713044686
ibarra_zarate,wpli_alpha_C4_Fp2,wpli,alpha,C4-Fp2,26.826316400973226
ibarra_zarate,wpli_beta_C4_Fp2,wpli,beta,C4-Fp2,-47.34563867258236
ibarra_zarate,wpli_gamma_C4_Fp2,wpli,gamma,C4-Fp2,71.22955822100558
ibarra_zarate,wpli_delta_F3_Fp2,wpli,delta,F3-Fp2,0.0
ibarra_zarate,wpli_theta_F3_Fp2,wpli,theta,F3-Fp2,-1.8992339961936817
ibarra_zarate,wpli_alpha_F3_Fp2,wpli,alpha,F3-Fp2,63.60880772412645
ibarra_zarate,wpli_beta_F3_Fp2,wpli,beta,F3-Fp2,48.754797724284195
ibarra_zarate,wpli_gamma_F3_Fp2,wpli,gamma,F3-Fp2,10.461314070567672
ibarra_zarate,wpli_delta_F4_Fp2,wpli,delta,F4-Fp2,0.0
ibarra_zarate,wpli_theta_F4_Fp2,wpli,theta,F4-Fp2,38.00089766851418
ibarra_zarate,wpli_alpha_F4_Fp2,wpli,alpha,F4-Fp2,42.84500770161971
ibarra_zarate,wpli_beta_F4_Fp2,wpli,beta,F4-Fp2,0.6130622162849341
ibarra_zarate,wpli_gamma_F4_Fp2,wpli,gamma,F4-Fp2,28.22222121674286
ibarra_zarate,wpli_delta_F7_Fp2,wpli,delta,F7-Fp2,0.0
ibarra_zarate,wpli_theta_F7_Fp2,wpli,theta,F7-Fp2,-40.704214840903916
ibarra_zarate,wpli_alpha_F7_Fp2,wpli,alpha,F7-Fp2,31.85927405149237
ibarra_zarate,wpli_beta_F7_Fp2,wpli,beta,F7-Fp2,36.38133404992391
ibarra_zarate,wpli_gamma_F7_Fp2,wpli,gamma,F7-Fp2,63.81759012085911
ibarra_zarate,wpli_delta_F8_Fp2,wpli,delta,F8-Fp2,8.437518616268248
ibarra_zarate,wpli_theta_F8_Fp2,wpli,theta,F8-Fp2,24.29099529372955
ibarra_zarate,wpli_alpha_F8_Fp2,wpli,alpha,F8-Fp2,9.343241048110357
ibarra_zarate,wpli_beta_F8_Fp2,wpli,beta,F8-Fp2,-24.86751015084888
ibarra_zarate,wpli_gamma_F8_Fp2,wpli,gamma,F8-Fp2,-72.34267132055135
ibarra_zarate,wpli_delta_Fp1_Fp2,wpli,delta,Fp1-Fp2,-10.700018271595674
ibarra_zarate,wpli_theta_Fp1_Fp2,wpli,theta,Fp1-Fp2,41.918525627191194
ibarra_zarate,wpli_alpha_Fp1_Fp2,wpli,alpha,Fp1-Fp2,17.873253956919484
ibarra_zarate,wpli_beta_Fp1_Fp2,wpli,beta,Fp1-Fp2,33.980082432935596
ibarra_zarate,wpli_gamma_Fp1_Fp2,wpli,gamma,Fp1-Fp2,22.672478480246866
ibarra_zarate,wpli_delta_C3_Fz,wpli,delta,C3-Fz,37.97934413601429
ibarra_zarate,wpli_theta_C3_Fz,wpli,theta,C3-Fz,-58.09983788670631
ibarra_zarate,wpli_alpha_C3_Fz,wpli,alpha,C3-Fz,28.680596062889386
ibarra_zarate,wpli_beta_C3_Fz,wpli,beta,C3-Fz,41.17842435725266
ibarra_zarate,wpli_gamma_C3_Fz,wpli,gamma,C3-Fz,-48.45671404633184
ibarra_zarate,wpli_delta_C4_Fz,wpli,delta,C4-Fz,-7.3421721761475665
ibarra_zarate,wpli_theta_C4_Fz,wpli,theta,C4-Fz,0.0
ibarra_zarate,wpli_alpha_C4_Fz,wpli,alpha,C4-Fz,-2.356769726504731
ibarra_zarate,wpli_beta_C4_Fz,wpli,beta,C4-Fz,0.0
ibarra_zarate,wpli_gamma_C4_Fz,wpli,gamma,C4-Fz,17.492592501042473
ibarra_zarate,wpli_delta_F3_Fz,wpli,delta,F3-Fz,0.0
ibarra_zarate,wpli_theta_F3_Fz,wpli,theta,F3-Fz,-64.31822483306657
ibarra_zarate,wpli_alpha_F3_Fz,wpli,alpha,F3-Fz,0.0
ibarra_zarate,wpli_beta_F3_Fz,wpli,beta,F3-Fz,24.715791291082112
ibarra_zarate,wpli_gamma_F3_Fz,wpli,gamma,F3-Fz,-44.18272287997433
ibarra_zarate,wpli_delta_F4_Fz,wpli,delta,F4-Fz,102.20340865337639
ibarra_zarate,wpli_theta_F4_Fz,wpli,theta,F4-Fz,-22.230048282589365
ibarra_zarate,wpli_alpha_F4_Fz,wpli,alpha,F4-Fz,0.0
ibarra_zarate,wpli_beta_F4_Fz,wpli,beta,F4-Fz,5.830250616550352
ibarra_zarate,wpli_gamma_F4_Fz,wpli,gamma,F4-Fz,102.26953998528558
ibarra_zarate,wpli_delta_F7_Fz,wpli,delta,F7-Fz,-102.72561711823616
ibarra_zarate,wpli_theta_F7_Fz,wpli,theta,F7-Fz,17.841264215101635
ibarra_zarate,wpli_alpha_F7_Fz,wpli,alpha,F7-Fz,-49.2118821383337
ibarra_zarate,wpli_beta_F7_Fz,wpli,beta,F7-Fz,-31.816703603668785
ibarra_zarate,wpli_gamma_F7_Fz,wpli,gamma,F7-Fz,-26.426571055417597
ibarra_zarate,wpli_delta_F8_Fz,wpli,delta,F8-Fz,0.0
ibarra_zarate,wpli_theta_F8_Fz,wpli,theta,F8-Fz,0.0
ibarra_zarate,wpli_alpha_F8_Fz,wpli,alpha,F8-Fz,27.822765051753464
ibarra_zarate,wpli_beta_F8_Fz,wpli,beta,F8-Fz,0.0
ibarra_zarate,wpli_gamma_F8_Fz,wpli,gamma,F8-Fz,25.198234364474548
ibarra_zarate,wpli_delta_Fp1_Fz,wpli,delta,Fp1-Fz,-91.0811006005879
ibarra_zarate,wpli_theta_Fp1_Fz,wpli,theta,Fp1-Fz,7.605895109625093
ibarra_zarate,wpli_alpha_Fp1_Fz,wpli,alpha,Fp1-Fz,61.291891564227605
ibarra_zarate,wpli_beta_Fp1_Fz,wpli,beta,Fp1-Fz,75.45283865787741
ibarra_zarate,wpli_gamma_Fp1_Fz,wpli,gamma,Fp1-Fz,6.922738107669844
ibarra_zarate,wpli_delta_Fp2_Fz,wpli,delta,Fp2-Fz,-6.052750965201672
ibarra_zarate,wpli_theta_Fp2_Fz,wpli,theta,Fp2-Fz,0.6971226032894522
ibarra_zarate,wpli_alpha_Fp2_Fz,wpli,alpha,Fp2-Fz,31.59811173185411
ibarra_zarate,wpli_beta_Fp2_Fz,wpli,beta,Fp2-Fz,114.04976443958843
ibarra_zarate,wpli_gamma_Fp2_Fz,wpli,gamma,Fp2-Fz,50.96407819783509
ibarra_zarate,wpli_delta_C3_P7,wpli,delta,C3-P7,-65.47621590316953
ibarra_zarate,wpli_theta_C3_P7,wpli,theta,C3-P7,42.048261427308404
ibarra_zarate,wpli_alpha_C3_P7,wpli,alpha,C3-P7,0.0
ibarra_zarate,wpli_beta_C3_P7,wpli,beta,C3-P7,-12.47507287029664
ibarra_zarate,wpli_gamma_C3_P7,wpli,gamma,C3-P7,31.832915730913097
ibarra_zarate,wpli_delta_C4_P7,wpli,delta,C4-P7,37.06228640671469
ibarra_zarate,wpli_theta_C4_P7,wpli,theta,C4-P7,16.005522643642326
ibarra_zarate,wpli_alpha_C4_P7,wpli,alpha,C4-P7,28.37859063838725
ibarra_zarate,wpli_beta_C4_P7,wpli,beta,C4-P7,-39.739886065241194
ibarra_zarate,wpli_gamma_C4_P7,wpli,gamma,C4-P7,102.82157542464132
ibarra_zarate,wpli_delta_F3_P7,wpli,delta,F3-P7,-13.498163901742863
ibarra_zarate,wpli_theta_F3_P7,wpli,theta,F3-P7,-46.991202291999635
ibarra_zarate,wpli_alpha_F3_P7,wpli,alpha,F3-P7,-4.538678789248542
ibarra_zarate,wpli_beta_F3_P7,wpli,beta,F3-P7,32.37730700667616
ibarra_zarate,wpli_gamma_F3_P7,wpli,gamma,F3-P7,41.84813727156894
ibarra_zarate,wpli_delta_F4_P7,wpli,delta,F4-P7,0.0
ibarra_zarate,wpli_theta_F4_P7,wpli,theta,F4-P7,-84.76917146065117
ibarra_zarate,wpli_alpha_F4_P7,wpli,alpha,F4-P7,-32.72560706162984
ibarra_zarate,wpli_beta_F4_P7,wpli,beta,F4-P7,-11.219566389257869
ibarra_zarate,wpli_gamma_F4_P7,wpli,gamma,F4-P7,69.60960422433318
ibarra_zarate,wpli_delta_F7_P7,wpli,delta,F7-P7,-31.90160798763602
ibarra_zarate,wpli_theta_F7_P7,wpli,theta,F7-P7,21.03642155121878
ibarra_zarate,wpli_alpha_F7_P7,wpli,alpha,F7-P7,15.52036792596493
ibarra_zarate,wpli_beta_F7_P7,wpli,beta,F7-P7,6.329324001980181
ibarra_zarate,wpli_gamma_F7_P7,wpli,gamma,F7-P7,-26.9586322280213
ibarra_zarate,wpli_delta_F8_P7,wpli,delta,F8-P7,-32.1894420706873
ibarra_zarate,wpli_theta_F8_P7,wpli,theta,F8-P7,-69.99674300790782
ibarra_zarate,wpli_alpha_F8_P7,wpli,alpha,F8-P7,-64.38485288488472
ibarra_zarate,wpli_beta_F8_P7,wpli,beta,F8-P7,67.71793147416685
ibarra_zarate,wpli_gamma_F8_P7,wpli,gamma,F8-P7,78.56532821385541
ibarra_zarate,wpli_delta_Fp1_P7,wpli,delta,Fp1-P7,-101.82318329521559
ibarra_zarate,wpli_theta_Fp1_P7,wpli,theta,Fp1-P7,-84.32220451165118
ibarra_zarate,wpli_alpha_Fp1_P7,wpli,alpha,Fp1-P7,0.0
ibarra_zarate,wpli_beta_Fp1_P7,wpli,beta,Fp1-P7,22.22963376709854
ibarra_zarate,wpli_gamma_Fp1_P7,wpli,gamma,Fp1-P7,131.76668626470976
ibarra_zarate,wpli_delta_Fp2_P7,wpli,delta,Fp2-P7,-67.37974064712918
ibarra_zarate,wpli_theta_Fp2_P7,wpli,theta,Fp2-P7,-107.76982948757812
ibarra_zarate,wpli_alpha_Fp2_P7,wpli,alpha,Fp2-P7,0.0
ibarra_zarate,wpli_beta_Fp2_P7,wpli,beta,Fp2-P7,19.862864984494422
ibarra_zarate,wpli_gamma_Fp2_P7,wpli,gamma,Fp2-P7,69.80088889910505
ibarra_zarate,wpli_delta_Fz_P7,wpli,delta,Fz-P7,-13.272748197571664
ibarra_zarate,wpli_theta_Fz_P7,wpli,theta,Fz-P7,-25.439130412230348
ibarra_zarate,wpli_alpha_Fz_P7,wpli,alpha,Fz-P7,-1.0047816543638306
ibarra_zarate,wpli_beta_Fz_P7,wpli,beta,Fz-P7,19.777169196511473
ibarra_zarate,wpli_gamma_Fz_P7,wpli,gamma,Fz-P7,59.64657691347789
ibarra_zarate,wpli_delta_C3_P8,wpli,delta,C3-P8,44.90851466063981
ibarra_zarate,wpli_theta_C3_P8,wpli,theta,C3-P8,0.0
ibarra_zarate,wpli_alpha_C3_P8,wpli,alpha,C3-P8,49.919075890473
ibarra_zarate,wpli_beta_C3_P8,wpli,beta,C3-P8,48.6343112147704
ibarra_zarate,wpli_gamma_C3_P8,wpli,gamma,C3-P8,0.0
ibarra_zarate,wpli_delta_C4_P8,wpli,delta,C4-P8,83.04002320274186
ibarra_zarate,wpli_theta_C4_P8,wpli,theta,C4-P8,-79.479432272233
ibarra_zarate,wpli_alpha_C4_P8,wpli,alpha,C4-P8,0.0
ibarra_zarate,wpli_beta_C4_P8,wpli,beta,C4-P8,-85.82798357722397
ibarra_zarate,wpli_gamma_C4_P8,wpli,gamma,C4-P8,-48.67779608934383
ibarra_zarate,wpli_delta_F3_P8,wpli,delta,F3-P8,-5.449937626178434
ibarra_zarate,wpli_theta_F3_P8,wpli,theta,F3-P8,0.0
ibarra_zarate,wpli_alpha_F3_P8,wpli,alpha,F3-P8,-33.336515931976365
ibarra_zarate,wpli_beta_F3_P8,wpli,beta,F3-P8,-100.63968936881335
ibarra_zarate,wpli_gamma_F3_P8,wpli,gamma,F3-P8,-22.254669939939795
ibarra_zarate,wpli_delta_F4_P8,wpli,delta,F4-P8,-65.17376049242291
ibarra_zarate,wpli_theta_F4_P8,wpli,theta,F4-P8,8.717368062082347
ibarra_zarate,wpli_alpha_F4_P8,wpli,alpha,F4-P8,-38.19133043997973
ibarra_zarate,wpli_beta_F4_P8,wpli,beta,F4-P8,-144.00197080589788
ibarra_zarate,wpli_gamma_F4_P8,wpli,gamma,F4-P8,-53.2406600431207
ibarra_zarate,wpli_delta_F7_P8,wpli,delta,F7-P8,-55.812464298800165
ibarra_zarate,wpli_theta_F7_P8,wpli,theta,F7-P8,-3.4537169196242368
ibarra_zarate,wpli_alpha_F7_P8,wpli,alpha,F7-P8,50.055358730528184
ibarra_zarate,wpli_beta_F7_P8,wpli,beta,F7-P8,-46.50934858728123
ibarra_zarate,wpli_gamma_F7_P8,wpli,gamma,F7-P8,0.0
ibarra_zarate,wpli_delta_F8_P8,wpli,delta,F8-P8,5.883278344661729
ibarra_zarate,wpli_theta_F8_P8,wpli,theta,F8-P8,0.0
ibarra_zarate,wpli_alpha_F8_P8,wpli,alpha,F8-P8,-19.141908781619676
ibarra_zarate,wpli_beta_F8_P8,wpli,beta,F8-P8,24.075642767941268
ibarra_zarate,wpli_gamma_F8_P8,wpli,gamma,F8-P8,-34.20531372815047
ibarra_zarate,wpli_delta_Fp1_P8,wpli,delta,Fp1-P8,13.691106473044707
ibarra_zarate,wpli_theta_Fp1_P8,wpli,theta,Fp1-P8,-7.791578095350418
ibarra_zarate,wpli_alpha_Fp1_P8,wpli,alpha,Fp1-P8,0.20666582819869306
ibarra_zarate,wpli_beta_Fp1_P8,wpli,beta,Fp1-P8,-51.68200020414353
ibarra_zarate,wpli_gamma_Fp1_P8,wpli,gamma,Fp1-P8,-27.130008843802734
ibarra_zarate,wpli_delta_Fp2_P8,wpli,delta,Fp2-P8,-47.342991715689145
ibarra_zarate,wpli_theta_Fp2_P8,wpli,theta,Fp2-P8,30.899031731401607
ibarra_zarate,wpli_alpha_Fp2_P8,wpli,alpha,Fp2-P8,1.297272882391919
ibarra_zarate,wpli_beta_Fp2_P8,wpli,beta,Fp2-P8,-68.30366218063735
ibarra_zarate,wpli_gamma_Fp2_P8,wpli,gamma,Fp2-P8,0.0
ibarra_zarate,wpli_delta_Fz_P8,wpli,delta,Fz-P8,-32.78432942645104
ibarra_zarate,wpli_theta_Fz_P8,wpli,theta,Fz-P8,-52.015432589606945
ibarra_zarate,wpli_alpha_Fz_P8,wpli,alpha,Fz-P8,-35.701777352232334
ibarra_zarate,wpli_beta_Fz_P8,wpli,beta,Fz-P8,-49.75003970511916
ibarra_zarate,wpli_gamma_Fz_P8,wpli,gamma,Fz-P8,-38.54918581765393
ibarra_zarate,wpli_delta_P7_P8,wpli,delta,P7-P8,33.73381807579132
ibarra_zarate,wpli_theta_P7_P8,wpli,theta,P7-P8,75.09757884682686
ibarra_zarate,wpli_alpha_P7_P8,wpli,alpha,P7-P8,15.416208325071993
ibarra_zarate,wpli_beta_P7_P8,wpli,beta,P7-P8,0.0
ibarra_zarate,wpli_gamma_P7_P8,wpli,gamma,P7-P8,-127.38642087202092
ibarra_zarate,wpli_delta_C3_T7,wpli,delta,C3-T7,30.492809222866263
ibarra_zarate,wpli_theta_C3_T7,wpli,theta,C3-T7,0.025870344042970447
ibarra_zarate,wpli_alpha_C3_T7,wpli,alpha,C3-T7,70.72706065381283
ibarra_zarate,wpli_beta_C3_T7,wpli,beta,C3-T7,0.0
ibarra_zarate,wpli_gamma_C3_T7,wpli,gamma,C3-T7,52.04745297717711
ibarra_zarate,wpli_delta_C4_T7,wpli,delta,C4-T7,88.01460708195563
ibarra_zarate,wpli_theta_C4_T7,wpli,theta,C4-T7,-58.302716713230595
ibarra_zarate,wpli_alpha_C4_T7,wpli,alpha,C4-T7,52.21758164582299
ibarra_zarate,wpli_beta_C4_T7,wpli,beta,C4-T7,-17.82734602573035
ibarra_zarate,wpli_gamma_C4_T7,wpli,gamma,C4-T7,0.0
ibarra_zarate,wpli_delta_F3_T7,wpli,delta,F3-T7,0.0
ibarra_zarate,wpli_theta_F3_T7,wpli,theta,F3-T7,29.863751133687046
ibarra_zarate,wpli_alpha_F3_T7,wpli,alpha,F3-T7,13.29047724501033
ibarra_zarate,wpli_beta_F3_T7,wpli,beta,F3-T7,83.92137680888156
ibarra_zarate,wpli_gamma_F3_T7,wpli,gamma,F3-T7,0.5859613386466946
ibarra_zarate,wpli_delta_F4_T7,wpli,delta,F4-T7,0.0
ibarra_zarate,wpli_theta_F4_T7,wpli,theta,F4-T7,0.0
ibarra_zarate,wpli_alpha_F4_T7,wpli,alpha,F4-T7,32.069786570941645
ibarra_zarate,wpli_beta_F4_T7,wpli,beta,F4-T7,-37.78401665469365
ibarra_zarate,wpli_gamma_F4_T7,wpli,gamma,F4-T7,45.57194951521033
ibarra_zarate,wpli_delta_F7_T7,wpli,delta,F7-T7,-20.142993849975767
ibarra_zarate,wpli_theta_F7_T7,wpli,theta,F7-T7,-56.48540744838815
ibarra_zarate,wpli_alpha_F7_T7,wpli,alpha,F7-T7,-96.25782834142377
ibarra_zarate,wpli_beta_F7_T7,wpli,beta,F7-T7,-36.54367377018366
ibarra_zarate,wpli_gamma_F7_T7,wpli,gamma,F7-T7,-7.996576666745675
ibarra_zarate,wpli_delta_F8_T7,wpli,delta,F8-T7,-0.11582632042680606
ibarra_zarate,wpli_theta_F8_T7,wpli,theta,F8-T7,-58.674102525049825
ibarra_zarate,wpli_alpha_F8_T7,wpli,alpha,F8-T7,78.63787402722333
ibarra_zarate,wpli_beta_F8_T7,wpli,beta,F8-T7,-10.911892839251546
ibarra_zarate,wpli_gamma_F8_T7,wpli,gamma,F8-T7,25.279519512680743
ibarra_zarate,wpli_delta_Fp1_T7,wpli,delta,Fp1-T7,-31.517979491660576
ibarra_zarate,wpli_theta_Fp1_T7,wpli,theta,Fp1-T7,-16.161216349278526
ibarra_zarate,wpli_alpha_Fp1_T7,wpli,alpha,Fp1-T7,-19.303353346820458
ibarra_zarate,wpli_beta_Fp1_T7,wpli,beta,Fp1-T7,24.00363929154294
ibarra_zarate,wpli_gamma_Fp1_T7,wpli,gamma,Fp1-T7,50.965767177314774
ibarra_zarate,wpli_delta_Fp2_T7,wpli,delta,Fp2-T7,-54.745756492097925
ibarra_zarate,wpli_theta_Fp2_T7,wpli,theta,Fp2-T7,-17.834194460310968
ibarra_zarate,wpli_alpha_Fp2_T7,wpli,alpha,Fp2-T7,14.834084713509602
ibarra_zarate,wpli_beta_Fp2_T7,wpli,beta,Fp2-T7,-21.07964025666589
ibarra_zarate,wpli_gamma_Fp2_T7,wpli,gamma,Fp2-T7,71.801959489632
ibarra_zarate,wpli_delta_Fz_T7,wpli,delta,Fz-T7,24.420152741615127
ibarra_zarate,wpli_theta_Fz_T7,wpli,theta,Fz-T7,20.107477897407662
ibarra_zarate,wpli_alpha_Fz_T7,wpli,alpha,Fz-T7,21.912076353151633
ibarra_zarate,wpli_beta_Fz_T7,wpli,beta,Fz-T7,3.505701728586863
ibarra_zarate,wpli_gamma_Fz_T7,wpli,gamma,Fz-T7,52.61824529338269
ibarra_zarate,wpli_delta_P7_T7,wpli,delta,P7-T7,0.12627955102218757
ibarra_zarate,wpli_theta_P7_T7,wpli,theta,P7-T7,72.80429986960672
ibarra_zarate,wpli_alpha_P7_T7,wpli,alpha,P7-T7,28.071299106585823
ibarra_zarate,wpli_beta_P7_T7,wpli,beta,P7-T7,0.0
ibarra_zarate,wpli_gamma_P7_T7,wpli,gamma,P7-T7,46.53257950488348
ibarra_zarate,wpli_delta_P8_T7,wpli,delta,P8-T7,0.0
ibarra_zarate,wpli_theta_P8_T7,wpli,theta,P8-T7,0.27342334820804576
ibarra_zarate,wpli_alpha_P8_T7,wpli,alpha,P8-T7,0.0
ibarra_zarate,wpli_beta_P8_T7,wpli,beta,P8-T7,-74.94749757658232
ibarra_zarate,wpli_gamma_P8_T7,wpli,gamma,P8-T7,-11.734940392588605
ibarra_zarate,wpli_delta_C3_T8,wpli,delta,C3-T8,101.48191406803295
ibarra_zarate,wpli_theta_C3_T8,wpli,theta,C3-T8,101.73085176245841
ibarra_zarate,wpli_alpha_C3_T8,wpli,alpha,C3-T8,-60.72865003829193
ibarra_zarate,wpli_beta_C3_T8,wpli,beta,C3-T8,105.06713238325304
ibarra_zarate,wpli_gamma_C3_T8,wpli,gamma,C3-T8,25.60887219398576
ibarra_zarate,wpli_delta_C4_T8,wpli,delta,C4-T8,211.13059793763787
ibarra_zarate,wpli_theta_C4_T8,wpli,theta,C4-T8,102.0259410104419
ibarra_zarate,wpli_alpha_C4_T8,wpli,alpha,C4-T8,-38.29493949884632
ibarra_zarate,wpli_beta_C4_T8,wpli,beta,C4-T8,-24.303310934429337
ibarra_zarate,wpli_gamma_C4_T8,wpli,gamma,C4-T8,0.0
ibarra_zarate,wpli_delta_F3_T8,wpli,delta,F3-T8,62.931722782100984
ibarra_zarate,wpli_theta_F3_T8,wpli,theta,F3-T8,-19.18602733416682
ibarra_zarate,wpli_alpha_F3_T8,wpli,alpha,F3-T8,0.0
ibarra_zarate,wpli_beta_F3_T8,wpli,beta,F3-T8,66.02069321496624
ibarra_zarate,wpli_gamma_F3_T8,wpli,gamma,F3-T8,-25.417894224343257
ibarra_zarate,wpli_delta_F4_T8,wpli,delta,F4-T8,65.75643430867204
