dataset,best_C,best_gamma,nested_balanced_accuracy,nested_roc_auc
torres_torres,100.0,scale,0.5397127532411249,0.585171947754212
ibarra_zarate,0.1,scale,0.5208544902502118,0.5639793468465292
raeisi,10.0,scale,0.8017967950973477,0.8793271920676131
wang,0.1,scale,0.607628478599999,0.7434022915158371
