dataset,feature,t_stat,p_perm,p_fdr,fdr_significant
ibarra_zarate,wpli_theta_C3_P8,1.1084561689104677,0.3965603439656034,0.895736974975069,False
ibarra_zarate,wpli_alpha_C3_P8,1.2043341318910894,0.35576442355764426,0.8822149364010967,False
ibarra_zarate,wpli_beta_C3_P8,-0.7009532298949198,0.43715628437156284,0.8973207942363659,False
ibarra_zarate,wpli_gamma_C3_P8,-0.009831216277713916,0.922107789221078,0.9810000818100009,False
ibarra_zarate,wpli_delta_C4_P8,0.9631591612865447,0.44115588441155884,0.8984701529847015,False
ibarra_zarate,wpli_theta_C4_P8,1.4388943624161956,0.29717028297170284,0.8597935387184173,False
ibarra_zarate,wpli_alpha_C4_P8,1.2771014859276704,0.3183681631836816,0.8764488257056646,False
ibarra_zarate,wpli_beta_C4_P8,0.7614131654371419,0.5815418458154185,0.9314345016010345,False
ibarra_zarate,wpli_gamma_C4_P8,-0.03868378187773694,0.8981101889811018,0.9792192873735883,False
ibarra_zarate,wpli_delta_F3_P8,-0.3949047830891496,0.6425357464253575,0.9409381642480913,False
ibarra_zarate,wpli_theta_F3_P8,1.0587293725194689,0.4173582641735826,0.895736974975069,False
ibarra_zarate,wpli_alpha_F3_P8,0.15666300363196123,0.9511048895110489,0.9914569833339245,False
ibarra_zarate,wpli_beta_F3_P8,-1.0271840069472202,0.24417558244175583,0.829797275049565,False
ibarra_zarate,wpli_gamma_F3_P8,-1.0898408223081397,0.20037996200379962,0.8153489735772186,False
ibarra_zarate,wpli_delta_F4_P8,-0.1801741332084465,0.8147185281471853,0.955044645161419,False
ibarra_zarate,wpli_theta_F4_P8,1.1216879017483032,0.41955804419558046,0.895736974975069,False
ibarra_zarate,wpli_alpha_F4_P8,1.1292077192789538,0.410958904109589,0.895736974975069,False
ibarra_zarate,wpli_beta_F4_P8,-0.8014265582381085,0.3835616438356164,0.895736974975069,False
ibarra_zarate,wpli_gamma_F4_P8,-0.6910254208878109,0.41435856414358563,0.895736974975069,False
ibarra_zarate,wpli_delta_F7_P8,-0.641852456503526,0.45395460453954606,0.8988301169883012,False
ibarra_zarate,wpli_theta_F7_P8,0.9634590461159097,0.45255474452554745,0.8988301169883012,False
ibarra_zarate,wpli_alpha_F7_P8,1.0296986474883814,0.39136086391360864,0.895736974975069,False
ibarra_zarate,wpli_beta_F7_P8,-0.4845636790712895,0.573942605739426,0.9314345016010345,False
ibarra_zarate,wpli_gamma_F7_P8,-0.4139776673592906,0.6083391660833917,0.9409381642480913,False
ibarra_zarate,wpli_delta_F8_P8,0.33271415318426545,0.8073192680731927,0.955044645161419,False
ibarra_zarate,wpli_theta_F8_P8,0.7840150011628392,0.5809419058094191,0.9314345016010345,False
ibarra_zarate,wpli_alpha_F8_P8,0.4139891555595273,0.7673232676732327,0.9446805319468052,False
ibarra_zarate,wpli_beta_F8_P8,-0.5013947140530174,0.5625437456254374,0.9314345016010345,False
ibarra_zarate,wpli_gamma_F8_P8,-0.9382523641417374,0.2635736426357364,0.829797275049565,False
ibarra_zarate,wpli_delta_Fp1_P8,0.2502699137688473,0.8541145885411459,0.9655208392204256,False
ibarra_zarate,wpli_theta_Fp1_P8,0.5646493644540647,0.6555344465553444,0.9409381642480913,False
ibarra_zarate,wpli_alpha_Fp1_P8,0.5704984473241496,0.6503349665033497,0.9409381642480913,False
ibarra_zarate,wpli_beta_Fp1_P8,-0.7642667421207152,0.38216178382161786,0.895736974975069,False
ibarra_zarate,wpli_gamma_Fp1_P8,-0.03496901111030581,0.9205079492050795,0.9810000818100009,False
ibarra_zarate,wpli_delta_Fp2_P8,-0.2672685205840592,0.7405259474052595,0.9409381642480913,False
ibarra_zarate,wpli_theta_Fp2_P8,0.5532394489739888,0.6735326467353264,0.9409381642480913,False
ibarra_zarate,wpli_alpha_Fp2_P8,0.4099783880465103,0.7583241675832417,0.9413679321723001,False
ibarra_zarate,wpli_beta_Fp2_P8,-1.1842787103494368,0.194980501949805,0.814983988326831,False
ibarra_zarate,wpli_gamma_Fp2_P8,-0.13595164301178014,0.8427157284271573,0.9602127165924184,False
ibarra_zarate,wpli_delta_Fz_P8,-0.34576288778220365,0.690930906909309,0.9409381642480913,False
ibarra_zarate,wpli_theta_Fz_P8,0.5990551565591972,0.6453354664533547,0.9409381642480913,False
ibarra_zarate,wpli_alpha_Fz_P8,0.43021751128251784,0.771922807719228,0.9446805319468052,False
ibarra_zarate,wpli_beta_Fz_P8,-0.5239854159806319,0.5509449055094491,0.9314345016010345,False
ibarra_zarate,wpli_gamma_Fz_P8,-0.8746500369388863,0.31316868313168683,0.8723984744382705,False
ibarra_zarate,wpli_delta_P7_P8,0.4223585276275901,0.7335266473352665,0.9409381642480913,False
ibarra_zarate,wpli_theta_P7_P8,1.7950528029281145,0.17518248175182483,0.814983988326831,False
ibarra_zarate,wpli_alpha_P7_P8,0.41058319273700716,0.7367263273672633,0.9409381642480913,False
ibarra_zarate,wpli_beta_P7_P8,-0.9859805770056402,0.2753724627537246,0.829797275049565,False
ibarra_zarate,wpli_gamma_P7_P8,-0.8958532173991869,0.27377262273772623,0.829797275049565,False
ibarra_zarate,wpli_delta_C3_T7,0.34272061390104874,0.7425257474252575,0.9409381642480913,False
ibarra_zarate,wpli_theta_C3_T7,0.6038061884482352,0.5817418258174183,0.9314345016010345,False
ibarra_zarate,wpli_alpha_C3_T7,3.8774354417186063,0.0029997000299970002,0.18718128187181282,False
ibarra_zarate,wpli_beta_C3_T7,1.5317057456798069,0.2191780821917808,0.8178704517607941,False
ibarra_zarate,wpli_gamma_C3_T7,1.3455507535850468,0.26017398260173985,0.829797275049565,False
ibarra_zarate,wpli_delta_C4_T7,0.06330522123427115,0.9809019098090191,0.9914569833339245,False
ibarra_zarate,wpli_theta_C4_T7,0.1779261074464911,0.9095090490950904,0.9810000818100009,False
ibarra_zarate,wpli_alpha_C4_T7,2.346451749531268,0.061193880611938804,0.584464002579334,False
ibarra_zarate,wpli_beta_C4_T7,1.9004253985737796,0.23317668233176683,0.8178704517607941,False
ibarra_zarate,wpli_gamma_C4_T7,1.1259442684191538,0.35676432356764326,0.8822149364010967,False
ibarra_zarate,wpli_delta_F3_T7,-0.374519048884899,0.6951304869513049,0.9409381642480913,False
ibarra_zarate,wpli_theta_F3_T7,1.959873583320295,0.1197880211978802,0.7786221377862214,False
ibarra_zarate,wpli_alpha_F3_T7,1.9608759049320275,0.08999100089991001,0.6807964364853838,False
ibarra_zarate,wpli_beta_F3_T7,1.8398646299554926,0.18838116188381163,0.814983988326831,False
ibarra_zarate,wpli_gamma_F3_T7,0.6754422705475573,0.5611438856114389,0.9314345016010345,False
ibarra_zarate,wpli_delta_F4_T7,-0.21732756162354883,0.8133186681331867,0.955044645161419,False
ibarra_zarate,wpli_theta_F4_T7,2.2790598642951236,0.0731926807319268,0.64993500649935,False
ibarra_zarate,wpli_alpha_F4_T7,2.187954388184535,0.07479252074792521,0.64993500649935,False
ibarra_zarate,wpli_beta_F4_T7,1.013333637877704,0.48095190480951905,0.8988301169883012,False
ibarra_zarate,wpli_gamma_F4_T7,1.1984952862384934,0.34156584341565843,0.8785444036241536,False
ibarra_zarate,wpli_delta_F7_T7,-0.8429594625596089,0.37536246375362464,0.895736974975069,False
ibarra_zarate,wpli_theta_F7_T7,0.32548771044380126,0.7869213078692131,0.9540911193854709,False
ibarra_zarate,wpli_alpha_F7_T7,0.037561853029552596,0.9821017898210179,0.9914569833339245,False
ibarra_zarate,wpli_beta_F7_T7,1.5426143709966333,0.274972502749725,0.829797275049565,False
ibarra_zarate,wpli_gamma_F7_T7,1.1320243143950783,0.38616138386161386,0.895736974975069,False
ibarra_zarate,wpli_delta_F8_T7,-0.7119488735839489,0.4263573642635736,0.895736974975069,False
