dataset,scheme,balanced_accuracy,roc_auc
torres_torres,naive,0.9635461566091954,0.9937733477011493
torres_torres,loso,0.6397000718390804,0.5999793462643679
ibarra_zarate,naive,0.9875028791717684,0.9894336019694401
ibarra_zarate,loso,0.5058446645699946,0.5161800253020749
raeisi,naive,0.999010975437606,0.9993495465132693
raeisi,loso,0.966017316017316,0.9660057729860719
wang,naive,0.8501494596575334,0.9674296235967957
wang,loso,0.5945123122192073,0.6689596708373559
