dataset,feature,selection_frequency
raeisi,wpli_theta_P8_T7,0.508
raeisi,wpli_alpha_P8_T7,0.473
raeisi,wpli_beta_P8_T7,1.0
raeisi,wpli_gamma_P8_T7,0.288
raeisi,wpli_delta_C3_T8,0.612
raeisi,wpli_theta_C3_T8,0.584
raeisi,wpli_alpha_C3_T8,0.255
raeisi,wpli_beta_C3_T8,0.445
raeisi,wpli_gamma_C3_T8,0.318
raeisi,wpli_delta_C4_T8,0.729
raeisi,wpli_theta_C4_T8,0.693
raeisi,wpli_alpha_C4_T8,0.786
raeisi,wpli_beta_C4_T8,0.729
raeisi,wpli_gamma_C4_T8,0.731
raeisi,wpli_delta_F3_T8,0.583
raeisi,wpli_theta_F3_T8,0.804
raeisi,wpli_alpha_F3_T8,0.761
raeisi,wpli_beta_F3_T8,0.305
raeisi,wpli_gamma_F3_T8,0.557
raeisi,wpli_delta_F4_T8,0.583
raeisi,wpli_theta_F4_T8,0.511
raeisi,wpli_alpha_F4_T8,0.34
raeisi,wpli_beta_F4_T8,0.41
raeisi,wpli_gamma_F4_T8,0.742
raeisi,wpli_delta_F7_T8,0.683
raeisi,wpli_theta_F7_T8,0.717
raeisi,wpli_alpha_F7_T8,0.418
raeisi,wpli_beta_F7_T8,0.865
raeisi,wpli_gamma_F7_T8,0.58
raeisi,wpli_delta_F8_T8,0.565
raeisi,wpli_theta_F8_T8,0.843
raeisi,wpli_alpha_F8_T8,0.317
raeisi,wpli_beta_F8_T8,0.989
raeisi,wpli_gamma_F8_T8,0.802
raeisi,wpli_delta_Fp1_T8,0.941
raeisi,wpli_theta_Fp1_T8,0.632
raeisi,wpli_alpha_Fp1_T8,0.932
raeisi,wpli_beta_Fp1_T8,0.393
raeisi,wpli_gamma_Fp1_T8,0.451
raeisi,wpli_delta_Fp2_T8,0.561
raeisi,wpli_theta_Fp2_T8,0.236
raeisi,wpli_alpha_Fp2_T8,0.684
raeisi,wpli_beta_Fp2_T8,0.488
raeisi,wpli_gamma_Fp2_T8,0.627
raeisi,wpli_delta_Fz_T8,0.933
raeisi,wpli_theta_Fz_T8,0.343
raeisi,wpli_alpha_Fz_T8,0.366
raeisi,wpli_beta_Fz_T8,0.628
raeisi,wpli_gamma_Fz_T8,0.407
raeisi,wpli_delta_P7_T8,0.701
raeisi,wpli_theta_P7_T8,0.886
raeisi,wpli_alpha_P7_T8,0.714
raeisi,wpli_beta_P7_T8,0.977
raeisi,wpli_gamma_P7_T8,0.455
raeisi,wpli_delta_P8_T8,0.844
raeisi,wpli_theta_P8_T8,0.933
raeisi,wpli_alpha_P8_T8,0.264
raeisi,wpli_beta_P8_T8,0.819
raeisi,wpli_gamma_P8_T8,0.739
raeisi,wpli_delta_T7_T8,0.4
raeisi,wpli_theta_T7_T8,0.837
raeisi,wpli_alpha_T7_T8,0.46
raeisi,wpli_beta_T7_T8,0.995
raeisi,wpli_gamma_T7_T8,0.873
raeisi,plzc_C3,0.846
raeisi,plzc_C4,0.722
raeisi,plzc_F3,0.76
raeisi,plzc_F4,0.585
raeisi,plzc_F7,0.468
raeisi,plzc_F8,0.424
raeisi,plzc_Fp1,0.84
raeisi,plzc_Fp2,0.786
raeisi,plzc_Fz,0.495
raeisi,plzc_P7,0.805
raeisi,plzc_P8,0.462
raeisi,plzc_T7,0.472
raeisi,plzc_T8,0.768
wang,power_delta_C3,0.029
wang,power_theta_C3,0.031
wang,power_alpha_C3,0.045
wang,power_beta_C3,0.288
wang,power_gamma_C3,0.033
wang,power_delta_C4,0.01
wang,power_theta_C4,0.026
wang,power_alpha_C4,0.034
wang,power_beta_C4,0.172
wang,power_gamma_C4,0.067
wang,power_delta_F3,0.02
wang,power_theta_F3,0.013
wang,power_alpha_F3,0.015
wang,power_beta_F3,0.001
wang,power_gamma_F3,0.035
wang,power_delta_F4,0.003
wang,power_theta_F4,0.01
wang,power_alpha_F4,0.007
wang,power_beta_F4,0.004
wang,power_gamma_F4,0.021
wang,power_delta_F7,0.023
wang,power_theta_F7,0.014
wang,power_alpha_F7,0.038
wang,power_beta_F7,0.019
wang,power_gamma_F7,0.023
wang,power_delta_F8,0.08
wang,power_theta_F8,0.037
wang,power_alpha_F8,0.022
wang,power_beta_F8,0.073
wang,power_gamma_F8,0.083
wang,power_delta_Fp1,0.09
wang,power_theta_Fp1,0.016
wang,power_alpha_Fp1,0.032
wang,power_beta_Fp1,0.067
wang,power_gamma_Fp1,0.052
wang,power_delta_Fp2,0.034
wang,power_theta_Fp2,0.011
wang,power_alpha_Fp2,0.031
wang,power_beta_Fp2,0.041
wang,power_gamma_Fp2,0.074
wang,power_delta_Fz,0.025
wang,power_theta_Fz,0.016
wang,power_alpha_Fz,0.018
wang,power_beta_Fz,0.087
wang,power_gamma_Fz,0.189
wang,power_delta_P7,0.135
wang,power_theta_P7,0.018
wang,power_alpha_P7,0.03
wang,power_beta_P7,0.025
wang,power_gamma_P7,0.175
wang,power_delta_P8,0.076
wang,power_theta_P8,0.059
wang,power_alpha_P8,0.029
wang,power_beta_P8,0.1
wang,power_gamma_P8,0.03
wang,power_delta_T7,0.03
wang,power_theta_T7,0.041
wang,power_alpha_T7,0.06
wang,power_beta_T7,0.034
wang,power_gamma_T7,0.112
wang,power_delta_T8,0.01
wang,power_theta_T8,0.013
wang,power_alpha_T8,0.049
wang,power_beta_T8,0.013
wang,power_gamma_T8,0.091
wang,wpli_delta_C3_C4,0.428
wang,wpli_theta_C3_C4,0.069
wang,wpli_alpha_C3_C4,0.035
wang,wpli_beta_C3_C4,0.051
wang,wpli_gamma_C3_C4,0.432
wang,wpli_delta_C3_F3,0.075
wang,wpli_theta_C3_F3,0.076
wang,wpli_alpha_C3_F3,0.004
wang,wpli_beta_C3_F3,0.024
wang,wpli_gamma_C3_F3,0.062
wang,wpli_delta_C4_F3,0.011
wang,wpli_theta_C4_F3,0.03
wang,wpli_alpha_C4_F3,0.079
wang,wpli_beta_C4_F3,0.022
wang,wpli_gamma_C4_F3,0.672
wang,wpli_delta_C3_F4,0.189
wang,wpli_theta_C3_F4,0.025
wang,wpli_alpha_C3_F4,0.198
wang,wpli_beta_C3_F4,0.028
wang,wpli_gamma_C3_F4,0.059
wang,wpli_delta_C4_F4,0.194
wang,wpli_theta_C4_F4,0.137
wang,wpli_alpha_C4_F4,0.008
wang,wpli_beta_C4_F4,0.063
wang,wpli_gamma_C4_F4,0.12
wang,wpli_delta_F3_F4,0.042
wang,wpli_theta_F3_F4,0.134
wang,wpli_alpha_F3_F4,0.029
wang,wpli_beta_F3_F4,0.053
wang,wpli_gamma_F3_F4,0.04
wang,wpli_delta_C3_F7,0.065
wang,wpli_theta_C3_F7,0.063
wang,wpli_alpha_C3_F7,0.081
wang,wpli_beta_C3_F7,0.406
wang,wpli_gamma_C3_F7,0.107
wang,wpli_delta_C4_F7,0.125
wang,wpli_theta_C4_F7,0.041
wang,wpli_alpha_C4_F7,0.027
wang,wpli_beta_C4_F7,0.056
wang,wpli_gamma_C4_F7,0.218
wang,wpli_delta_F3_F7,0.17
wang,wpli_theta_F3_F7,0.054
wang,wpli_alpha_F3_F7,0.02
wang,wpli_beta_F3_F7,0.468
wang,wpli_gamma_F3_F7,0.162
wang,wpli_delta_F4_F7,0.015
wang,wpli_theta_F4_F7,0.05
wang,wpli_alpha_F4_F7,0.164
wang,wpli_beta_F4_F7,0.148
wang,wpli_gamma_F4_F7,0.092
wang,wpli_delta_C3_F8,0.235
wang,wpli_theta_C3_F8,0.286
wang,wpli_alpha_C3_F8,0.106
wang,wpli_beta_C3_F8,0.034
wang,wpli_gamma_C3_F8,0.103
wang,wpli_delta_C4_F8,0.244
wang,wpli_theta_C4_F8,0.053
wang,wpli_alpha_C4_F8,0.373
wang,wpli_beta_C4_F8,0.046
wang,wpli_gamma_C4_F8,0.225
wang,wpli_delta_F3_F8,0.827
wang,wpli_theta_F3_F8,0.06
wang,wpli_alpha_F3_F8,0.171
wang,wpli_beta_F3_F8,0.025
wang,wpli_gamma_F3_F8,0.062
wang,wpli_delta_F4_F8,0.058
wang,wpli_theta_F4_F8,0.026
wang,wpli_alpha_F4_F8,0.031
wang,wpli_beta_F4_F8,0.051
wang,wpli_gamma_F4_F8,0.046
wang,wpli_delta_F7_F8,0.412
wang,wpli_theta_F7_F8,0.169
wang,wpli_alpha_F7_F8,0.065
wang,wpli_beta_F7_F8,0.071
wang,wpli_gamma_F7_F8,0.197
wang,wpli_delta_C3_Fp1,0.018
wang,wpli_theta_C3_Fp1,0.029
wang,wpli_alpha_C3_Fp1,0.011
wang,wpli_beta_C3_Fp1,0.113
wang,wpli_gamma_C3_Fp1,0.114
wang,wpli_delta_C4_Fp1,0.562
wang,wpli_theta_C4_Fp1,0.012
wang,wpli_alpha_C4_Fp1,0.013
wang,wpli_beta_C4_Fp1,0.295
wang,wpli_gamma_C4_Fp1,0.071
wang,wpli_delta_F3_Fp1,0.082
wang,wpli_theta_F3_Fp1,0.05
wang,wpli_alpha_F3_Fp1,0.082
wang,wpli_beta_F3_Fp1,0.067
wang,wpli_gamma_F3_Fp1,0.057
wang,wpli_delta_F4_Fp1,0.187
wang,wpli_theta_F4_Fp1,0.184
wang,wpli_alpha_F4_Fp1,0.028
wang,wpli_beta_F4_Fp1,0.084
wang,wpli_gamma_F4_Fp1,0.028
wang,wpli_delta_F7_Fp1,0.054
wang,wpli_theta_F7_Fp1,0.277
wang,wpli_alpha_F7_Fp1,0.011
wang,wpli_beta_F7_Fp1,0.102
wang,wpli_gamma_F7_Fp1,0.393
wang,wpli_delta_F8_Fp1,0.485
wang,wpli_theta_F8_Fp1,0.075
wang,wpli_alpha_F8_Fp1,0.017
wang,wpli_beta_F8_Fp1,0.105
wang,wpli_gamma_F8_Fp1,0.076
wang,wpli_delta_C3_Fp2,0.093
wang,wpli_theta_C3_Fp2,0.049
wang,wpli_alpha_C3_Fp2,0.008
wang,wpli_beta_C3_Fp2,0.033
wang,wpli_gamma_C3_Fp2,0.031
wang,wpli_delta_C4_Fp2,0.068
wang,wpli_theta_C4_Fp2,0.034
wang,wpli_alpha_C4_Fp2,0.021
wang,wpli_beta_C4_Fp2,0.067
wang,wpli_gamma_C4_Fp2,0.044
wang,wpli_delta_F3_Fp2,0.126
wang,wpli_theta_F3_Fp2,0.073
wang,wpli_alpha_F3_Fp2,0.155
wang,wpli_beta_F3_Fp2,0.088
wang,wpli_gamma_F3_Fp2,0.023
wang,wpli_delta_F4_Fp2,0.069
wang,wpli_theta_F4_Fp2,0.096
wang,wpli_alpha_F4_Fp2,0.016
wang,wpli_beta_F4_Fp2,0.043
wang,wpli_gamma_F4_Fp2,0.057
wang,wpli_delta_F7_Fp2,0.025
wang,wpli_theta_F7_Fp2,0.034
wang,wpli_alpha_F7_Fp2,0.033
wang,wpli_beta_F7_Fp2,0.09
wang,wpli_gamma_F7_Fp2,0.052
wang,wpli_delta_F8_Fp2,0.051
wang,wpli_theta_F8_Fp2,0.092
wang,wpli_alpha_F8_Fp2,0.023
wang,wpli_beta_F8_Fp2,0.055
wang,wpli_gamma_F8_Fp2,0.068
wang,wpli_delta_Fp1_Fp2,0.165
wang,wpli_theta_Fp1_Fp2,0.084
wang,wpli_alpha_Fp1_Fp2,0.064
wang,wpli_beta_Fp1_Fp2,0.216
wang,wpli_gamma_Fp1_Fp2,0.054
wang,wpli_delta_C3_Fz,0.037
wang,wpli_theta_C3_Fz,0.027
wang,wpli_alpha_C3_Fz,0.006
wang,wpli_beta_C3_Fz,0.033
wang,wpli_gamma_C3_Fz,0.079
wang,wpli_delta_C4_Fz,0.118
wang,wpli_theta_C4_Fz,0.096
wang,wpli_alpha_C4_Fz,0.001
wang,wpli_beta_C4_Fz,0.012
wang,wpli_gamma_C4_Fz,0.036
wang,wpli_delta_F3_Fz,0.073
wang,wpli_theta_F3_Fz,0.16
wang,wpli_alpha_F3_Fz,0.048
wang,wpli_beta_F3_Fz,0.13
wang,wpli_gamma_F3_Fz,0.037
wang,wpli_delta_F4_Fz,0.09
wang,wpli_theta_F4_Fz,0.194
wang,wpli_alpha_F4_Fz,0.038
wang,wpli_beta_F4_Fz,0.156
wang,wpli_gamma_F4_Fz,0.034
wang,wpli_delta_F7_Fz,0.072
wang,wpli_theta_F7_Fz,0.015
wang,wpli_alpha_F7_Fz,0.024
wang,wpli_beta_F7_Fz,0.196
wang,wpli_gamma_F7_Fz,0.094
wang,wpli_delta_F8_Fz,0.057
wang,wpli_theta_F8_Fz,0.048
wang,wpli_alpha_F8_Fz,0.006
wang,wpli_beta_F8_Fz,0.026
wang,wpli_gamma_F8_Fz,0.44
wang,wpli_delta_Fp1_Fz,0.892
wang,wpli_theta_Fp1_Fz,0.211
wang,wpli_alpha_Fp1_Fz,0.049
wang,wpli_beta_Fp1_Fz,0.115
wang,wpli_gamma_Fp1_Fz,0.083
wang,wpli_delta_Fp2_Fz,0.076
wang,wpli_theta_Fp2_Fz,0.092
wang,wpli_alpha_Fp2_Fz,0.031
wang,wpli_beta_Fp2_Fz,0.049
wang,wpli_gamma_Fp2_Fz,0.65
wang,wpli_delta_C3_P7,0.149
wang,wpli_theta_C3_P7,0.075
wang,wpli_alpha_C3_P7,0.004
wang,wpli_beta_C3_P7,0.013
wang,wpli_gamma_C3_P7,0.033
wang,wpli_delta_C4_P7,0.105
wang,wpli_theta_C4_P7,0.127
wang,wpli_alpha_C4_P7,0.028
wang,wpli_beta_C4_P7,0.093
wang,wpli_gamma_C4_P7,0.133
wang,wpli_delta_F3_P7,0.03
wang,wpli_theta_F3_P7,0.039
wang,wpli_alpha_F3_P7,0.002
wang,wpli_beta_F3_P7,0.019
wang,wpli_gamma_F3_P7,0.281
wang,wpli_delta_F4_P7,0.05
wang,wpli_theta_F4_P7,0.017
wang,wpli_alpha_F4_P7,0.001
wang,wpli_beta_F4_P7,0.045
wang,wpli_gamma_F4_P7,0.057
wang,wpli_delta_F7_P7,0.131
wang,wpli_theta_F7_P7,0.093
wang,wpli_alpha_F7_P7,0.042
wang,wpli_beta_F7_P7,0.037
wang,wpli_gamma_F7_P7,0.092
wang,wpli_delta_F8_P7,0.129
wang,wpli_theta_F8_P7,0.297
wang,wpli_alpha_F8_P7,0.209
wang,wpli_beta_F8_P7,0.021
wang,wpli_gamma_F8_P7,0.249
wang,wpli_delta_Fp1_P7,0.029
wang,wpli_theta_Fp1_P7,0.019
wang,wpli_alpha_Fp1_P7,0.356
wang,wpli_beta_Fp1_P7,0.001
wang,wpli_gamma_Fp1_P7,0.09
wang,wpli_delta_Fp2_P7,0.049
wang,wpli_theta_Fp2_P7,0.059
wang,wpli_alpha_Fp2_P7,0.019
wang,wpli_beta_Fp2_P7,0.286
wang,wpli_gamma_Fp2_P7,0.362
wang,wpli_delta_Fz_P7,0.018
wang,wpli_theta_Fz_P7,0.027
wang,wpli_alpha_Fz_P7,0.009
wang,wpli_beta_Fz_P7,0.055
wang,wpli_gamma_Fz_P7,0.026
wang,wpli_delta_C3_P8,0.018
wang,wpli_theta_C3_P8,0.067
wang,wpli_alpha_C3_P8,0.012
wang,wpli_beta_C3_P8,0.068
wang,wpli_gamma_C3_P8,0.127
wang,wpli_delta_C4_P8,0.114
wang,wpli_theta_C4_P8,0.11
wang,wpli_alpha_C4_P8,0.004
wang,wpli_beta_C4_P8,0.088
wang,wpli_gamma_C4_P8,0.11
wang,wpli_delta_F3_P8,0.033
wang,wpli_theta_F3_P8,0.04
wang,wpli_alpha_F3_P8,0.016
wang,wpli_beta_F3_P8,0.042
wang,wpli_gamma_F3_P8,0.025
wang,wpli_delta_F4_P8,0.184
wang,wpli_theta_F4_P8,0.501
wang,wpli_alpha_F4_P8,0.0
wang,wpli_beta_F4_P8,0.372
wang,wpli_gamma_F4_P8,0.034
wang,wpli_delta_F7_P8,0.187
wang,wpli_theta_F7_P8,0.271
wang,wpli_alpha_F7_P8,0.014
wang,wpli_beta_F7_P8,0.003
wang,wpli_gamma_F7_P8,0.065
wang,wpli_delta_F8_P8,0.095
wang,wpli_theta_F8_P8,0.443
wang,wpli_alpha_F8_P8,0.015
wang,wpli_beta_F8_P8,0.195
wang,wpli_gamma_F8_P8,0.057
wang,wpli_delta_Fp1_P8,0.729
wang,wpli_theta_Fp1_P8,0.01
wang,wpli_alpha_Fp1_P8,0.09
wang,wpli_beta_Fp1_P8,0.555
wang,wpli_gamma_Fp1_P8,0.135
wang,wpli_delta_Fp2_P8,0.046
wang,wpli_theta_Fp2_P8,0.195
wang,wpli_alpha_Fp2_P8,0.005
wang,wpli_beta_Fp2_P8,0.059
wang,wpli_gamma_Fp2_P8,0.04
wang,wpli_delta_Fz_P8,0.038
wang,wpli_theta_Fz_P8,0.008
wang,wpli_alpha_Fz_P8,0.015
wang,wpli_beta_Fz_P8,0.239
wang,wpli_gamma_Fz_P8,0.083
wang,wpli_delta_P7_P8,0.088
wang,wpli_theta_P7_P8,0.189
wang,wpli_alpha_P7_P8,0.153
wang,wpli_beta_P7_P8,0.151
wang,wpli_gamma_P7_P8,0.087
wang,wpli_delta_C3_T7,0.044
wang,wpli_theta_C3_T7,0.068
wang,wpli_alpha_C3_T7,0.024
wang,wpli_beta_C3_T7,0.065
wang,wpli_gamma_C3_T7,0.343
wang,wpli_delta_C4_T7,0.131
wang,wpli_theta_C4_T7,0.07
wang,wpli_alpha_C4_T7,0.035
wang,wpli_beta_C4_T7,0.046
wang,wpli_gamma_C4_T7,0.196
wang,wpli_delta_F3_T7,0.028
wang,wpli_theta_F3_T7,0.018
wang,wpli_alpha_F3_T7,0.085
wang,wpli_beta_F3_T7,0.025
wang,wpli_gamma_F3_T7,0.027
wang,wpli_delta_F4_T7,0.267
wang,wpli_theta_F4_T7,0.019
wang,wpli_alpha_F4_T7,0.051
wang,wpli_beta_F4_T7,0.058
wang,wpli_gamma_F4_T7,0.168
wang,wpli_delta_F7_T7,0.239
wang,wpli_theta_F7_T7,0.088
wang,wpli_alpha_F7_T7,0.172
wang,wpli_beta_F7_T7,0.027
wang,wpli_gamma_F7_T7,0.202
wang,wpli_delta_F8_T7,0.21
wang,wpli_theta_F8_T7,0.012
wang,wpli_alpha_F8_T7,0.07
wang,wpli_beta_F8_T7,0.045
wang,wpli_gamma_F8_T7,0.219
wang,wpli_delta_Fp1_T7,0.074
wang,wpli_theta_Fp1_T7,0.037
wang,wpli_alpha_Fp1_T7,0.358
wang,wpli_beta_Fp1_T7,0.054
wang,wpli_gamma_Fp1_T7,0.054
wang,wpli_delta_Fp2_T7,0.113
wang,wpli_theta_Fp2_T7,0.021
wang,wpli_alpha_Fp2_T7,0.053
wang,wpli_beta_Fp2_T7,0.015
wang,wpli_gamma_Fp2_T7,0.185
wang,wpli_delta_Fz_T7,0.039
wang,wpli_theta_Fz_T7,0.011
wang,wpli_alpha_Fz_T7,0.067
wang,wpli_beta_Fz_T7,0.035
wang,wpli_gamma_Fz_T7,0.056
wang,wpli_delta_P7_T7,0.102
wang,wpli_theta_P7_T7,0.106
wang,wpli_alpha_P7_T7,0.154
wang,wpli_beta_P7_T7,0.281
wang,wpli_gamma_P7_T7,0.105
wang,wpli_delta_P8_T7,0.129
wang,wpli_theta_P8_T7,0.089
wang,wpli_alpha_P8_T7,0.058
wang,wpli_beta_P8_T7,0.278
wang,wpli_gamma_P8_T7,0.127
wang,wpli_delta_C3_T8,0.097
wang,wpli_theta_C3_T8,0.085
wang,wpli_alpha_C3_T8,0.082
wang,wpli_beta_C3_T8,0.011
wang,wpli_gamma_C3_T8,0.052
wang,wpli_delta_C4_T8,0.285
wang,wpli_theta_C4_T8,0.009
wang,wpli_alpha_C4_T8,0.056
wang,wpli_beta_C4_T8,0.065
wang,wpli_gamma_C4_T8,0.044
wang,wpli_delta_F3_T8,0.073
wang,wpli_theta_F3_T8,0.014
wang,wpli_alpha_F3_T8,0.501
wang,wpli_beta_F3_T8,0.11
wang,wpli_gamma_F3_T8,0.038
wang,wpli_delta_F4_T8,0.557
wang,wpli_theta_F4_T8,0.015
wang,wpli_alpha_F4_T8,0.009
wang,wpli_beta_F4_T8,0.097
wang,wpli_gamma_F4_T8,0.093
wang,wpli_delta_F7_T8,0.485
wang,wpli_theta_F7_T8,0.041
wang,wpli_alpha_F7_T8,0.036
wang,wpli_beta_F7_T8,0.046
wang,wpli_gamma_F7_T8,0.046
wang,wpli_delta_F8_T8,0.082
wang,wpli_theta_F8_T8,0.253
wang,wpli_alpha_F8_T8,0.114
wang,wpli_beta_F8_T8,0.012
wang,wpli_gamma_F8_T8,0.129
wang,wpli_delta_Fp1_T8,0.076
wang,wpli_theta_Fp1_T8,0.018
wang,wpli_alpha_Fp1_T8,0.213
wang,wpli_beta_Fp1_T8,0.033
wang,wpli_gamma_Fp1_T8,0.057
wang,wpli_delta_Fp2_T8,0.253
wang,wpli_theta_Fp2_T8,0.14
wang,wpli_alpha_Fp2_T8,0.124
wang,wpli_beta_Fp2_T8,0.009
wang,wpli_gamma_Fp2_T8,0.096
wang,wpli_delta_Fz_T8,0.085
wang,wpli_theta_Fz_T8,0.016
wang,wpli_alpha_Fz_T8,0.046
wang,wpli_beta_Fz_T8,0.06
wang,wpli_gamma_Fz_T8,0.067
wang,wpli_delta_P7_T8,0.38
wang,wpli_theta_P7_T8,0.036
wang,wpli_alpha_P7_T8,0.179
wang,wpli_beta_P7_T8,0.036
wang,wpli_gamma_P7_T8,0.232
wang,wpli_delta_P8_T8,0.078
wang,wpli_theta_P8_T8,0.185
wang,wpli_alpha_P8_T8,0.051
wang,wpli_beta_P8_T8,0.145
wang,wpli_gamma_P8_T8,0.056
wang,wpli_delta_T7_T8,0.548
wang,wpli_theta_T7_T8,0.038
wang,wpli_alpha_T7_T8,0.03
wang,wpli_beta_T7_T8,0.107
wang,wpli_gamma_T7_T8,0.048
wang,plzc_C3,0.003
wang,plzc_C4,0.0
wang,plzc_F3,0.001
wang,plzc_F4,0.002
wang,plzc_F7,0.0
wang,plzc_F8,0.002
wang,plzc_Fp1,0.0
wang,plzc_Fp2,0.002
wang,plzc_Fz,0.003
wang,plzc_P7,0.006
wang,plzc_P8,0.003
wang,plzc_T7,0.0
wang,plzc_T8,0.0
