held_out,balanced_accuracy,roc_auc
torres_torres,0.557354525862069,0.7176867816091954
ibarra_zarate,0.5757808833385577,0.5981112416720499
raeisi,0.5430525230892371,0.5031798789485802
wang,0.49602109484495416,0.613152890917515
