held_out,tier,model,balanced_accuracy,roc_auc
torres_torres,tier2,random_forest,0.5344827586206896,0.6977878053160919
torres_torres,tier2,svm,0.4867726293103448,0.6527693965517241
ibarra_zarate,tier2,random_forest,0.4887318309107881,0.5375288133655916
ibarra_zarate,tier2,svm,0.6414138227088287,0.6578916149858942
raeisi,tier2,random_forest,0.5,0.29488706863649494
raeisi,tier2,svm,0.4663781767499069,0.40035570636763845
wang,tier2,random_forest,0.5147284824656946,0.6719061684591318
wang,tier2,svm,0.55036924221329,0.5790845268800349
