dataset,best_alpha,best_l1_ratio,nested_balanced_accuracy,nested_roc_auc
torres_torres,0.001,0.5,0.5995986966382071,0.6704637943904113
ibarra_zarate,0.001,1.0,0.49005742327765056,0.6544559427096679
raeisi,0.0001,1.0,0.8527376498006684,0.9419066600017727
wang,0.01,1.0,0.5822207358563855,0.6486791531620513
