held_out,tier,model,balanced_accuracy,roc_auc
torres_torres,tier3,eegnet,0.525017959770115,0.45897898706896545
ibarra_zarate,tier3,eegnet,0.4959501634850015,0.45229564158338
raeisi,tier3,eegnet,0.4967552224091921,0.6082527894827114
wang,tier3,eegnet,0.502073274637887,0.49778524083893494
