source,target,tier,model,balanced_accuracy,roc_auc
torres_torres,ibarra_zarate,tier2,random_forest,0.5531407975608869,0.6100218665519038
torres_torres,ibarra_zarate,tier2,svm,0.5304415047547465,0.6273819193208445
torres_torres,raeisi,tier2,random_forest,0.317368885427628,0.3575596874357774
torres_torres,raeisi,tier2,svm,0.3366043794221858,0.3287270749409345
torres_torres,wang,tier2,random_forest,0.5414441992213146,0.7056494969664122
torres_torres,wang,tier2,svm,0.5571584603522305,0.6349622370519391
ibarra_zarate,torres_torres,tier2,random_forest,0.5,0.6829539331896551
ibarra_zarate,torres_torres,tier2,svm,0.5,0.47759877873563217
ibarra_zarate,raeisi,tier2,random_forest,0.5,0.6344307384692882
ibarra_zarate,raeisi,tier2,svm,0.5,0.46370574337531656
ibarra_zarate,wang,tier2,random_forest,0.5,0.6319344841628148
ibarra_zarate,wang,tier2,svm,0.4872037993164088,0.6048199673070105
raeisi,torres_torres,tier2,random_forest,0.38741469109195403,0.3701041666666667
raeisi,torres_torres,tier2,svm,0.5439924568965517,0.49973239942528735
raeisi,ibarra_zarate,tier2,random_forest,0.577973004625725,0.5734884239976586
raeisi,ibarra_zarate,tier2,svm,0.532742785618169,0.4944193316684649
raeisi,wang,tier2,random_forest,0.5033171642244294,0.4859564319060904
raeisi,wang,tier2,svm,0.5132664588552479,0.45988244955637136
wang,torres_torres,tier2,random_forest,0.6373563218390804,0.7401414331896552
wang,torres_torres,tier2,svm,0.5082165948275862,0.6123320761494253
wang,ibarra_zarate,tier2,random_forest,0.5361201298701299,0.5506541564849339
wang,ibarra_zarate,tier2,svm,0.5736573318000842,0.7164211721736058
wang,raeisi,tier2,random_forest,0.5,0.42602899115060655
wang,raeisi,tier2,svm,0.5097596741470077,0.32979233979692907
